signal_type,id_cliente,familia,month,prediccion,urgency,signal,categoria,signal_date,restock_date,metadata
type_1_model_prediction,13416,Familia C1,2026-01,1.5488274097442627,,Esta semana el cliente 13416 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,13894,Familia C1,2026-01,1.0678503513336182,,Esta semana el cliente 13894 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,14357,Familia C1,2026-01,1.055989384651184,,Esta semana el cliente 14357 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,14619,Familia C1,2026-01,1.3679969310760498,,Esta semana el cliente 14619 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,14678,Familia C1,2026-01,1.0060763359069824,,Esta semana el cliente 14678 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,14990,Familia C1,2026-01,1.037909746170044,,Esta semana el cliente 14990 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,15167,Familia C1,2026-01,1.179749608039856,,Esta semana el cliente 15167 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,15196,Familia C1,2026-01,1.060537576675415,,Esta semana el cliente 15196 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,15394,Familia C1,2026-01,1.2519965171813965,,Esta semana el cliente 15394 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,15573,Familia C1,2026-01,1.0432876348495483,,Esta semana el cliente 15573 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,16718,Familia C1,2026-01,1.4714282751083374,,Esta semana el cliente 16718 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,16752,Familia C1,2026-01,1.020618200302124,,Esta semana el cliente 16752 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,16831,Familia C1,2026-01,1.1356511116027832,,Esta semana el cliente 16831 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,16892,Familia C1,2026-01,1.0180670022964478,,Esta semana el cliente 16892 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,17012,Familia C1,2026-01,1.284509301185608,,Esta semana el cliente 17012 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,18181,Familia C1,2026-01,1.135266900062561,,Esta semana el cliente 18181 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,18670,Familia C1,2026-01,1.6459605693817139,,Esta semana el cliente 18670 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,18936,Familia C1,2026-01,1.0766109228134155,,Esta semana el cliente 18936 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,19065,Familia C1,2026-01,1.063694715499878,,Esta semana el cliente 19065 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,19195,Familia C1,2026-01,1.5423825979232788,,Esta semana el cliente 19195 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,19212,Familia C1,2026-01,1.107553243637085,,Esta semana el cliente 19212 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,19583,Familia C1,2026-01,1.1023038625717163,,Esta semana el cliente 19583 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,20075,Familia C1,2026-01,1.1552562713623047,,Esta semana el cliente 20075 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,20079,Familia C1,2026-01,1.0370333194732666,,Esta semana el cliente 20079 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,20283,Familia C1,2026-01,1.1575613021850586,,Esta semana el cliente 20283 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,20614,Familia C1,2026-01,1.0740840435028076,,Esta semana el cliente 20614 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21082,Familia C1,2026-01,1.5381486415863037,,Esta semana el cliente 21082 podria comprar 2 unidades de Familia C1.,,,,
type_1_model_prediction,21261,Familia C1,2026-01,1.4471718072891235,,Esta semana el cliente 21261 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21347,Familia C1,2026-01,1.255653977394104,,Esta semana el cliente 21347 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21529,Familia C1,2026-01,1.0004603862762451,,Esta semana el cliente 21529 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21593,Familia C1,2026-01,1.4029723405838013,,Esta semana el cliente 21593 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21691,Familia C1,2026-01,1.1259191036224365,,Esta semana el cliente 21691 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21930,Familia C1,2026-01,1.4522531032562256,,Esta semana el cliente 21930 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21936,Familia C1,2026-01,1.4822840690612793,,Esta semana el cliente 21936 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,21989,Familia C1,2026-01,1.1846611499786377,,Esta semana el cliente 21989 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22116,Familia C1,2026-01,1.1222267150878906,,Esta semana el cliente 22116 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22137,Familia C1,2026-01,1.140773057937622,,Esta semana el cliente 22137 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22293,Familia C1,2026-01,1.3179306983947754,,Esta semana el cliente 22293 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22380,Familia C1,2026-01,1.1682226657867432,,Esta semana el cliente 22380 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22540,Familia C1,2026-01,1.0575840473175049,,Esta semana el cliente 22540 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22544,Familia C1,2026-01,1.4281140565872192,,Esta semana el cliente 22544 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22547,Familia C1,2026-01,1.3305621147155762,,Esta semana el cliente 22547 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22568,Familia C1,2026-01,1.2324516773223877,,Esta semana el cliente 22568 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22650,Familia C1,2026-01,1.1514739990234375,,Esta semana el cliente 22650 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22811,Familia C1,2026-01,1.1832517385482788,,Esta semana el cliente 22811 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22902,Familia C1,2026-01,1.1664576530456543,,Esta semana el cliente 22902 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,22924,Familia C1,2026-01,1.2074015140533447,,Esta semana el cliente 22924 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,23112,Familia C1,2026-01,1.2887846231460571,,Esta semana el cliente 23112 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,23589,Familia C1,2026-01,1.2183141708374023,,Esta semana el cliente 23589 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,23631,Familia C1,2026-01,1.1020195484161377,,Esta semana el cliente 23631 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,23807,Familia C1,2026-01,1.3222050666809082,,Esta semana el cliente 23807 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,23814,Familia C1,2026-01,1.1557832956314087,,Esta semana el cliente 23814 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24137,Familia C1,2026-01,1.000780463218689,,Esta semana el cliente 24137 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24238,Familia C1,2026-01,1.0402133464813232,,Esta semana el cliente 24238 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24468,Familia C1,2026-01,1.0738730430603027,,Esta semana el cliente 24468 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24564,Familia C1,2026-01,1.0767627954483032,,Esta semana el cliente 24564 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24622,Familia C1,2026-01,1.3547983169555664,,Esta semana el cliente 24622 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24880,Familia C1,2026-01,1.1971473693847656,,Esta semana el cliente 24880 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24914,Familia C1,2026-01,1.1785666942596436,,Esta semana el cliente 24914 podria comprar 1 unidades de Familia C1.,,,,
type_1_model_prediction,24985,Familia C1,2026-01,1.4179939031600952,,Esta semana el cliente 24985 podria comprar 1 unidades de Familia C1.,,,,
